,Lat,Lon,Id,Source,turbidity,temperature
11304810,37.93546702,-121.3302259,11304810,nwis,2.5,12.9
11312676,37.94266627,-121.5338075,11312676,nwis,1.9,14.5
11313315,37.89103627,-121.5702283,11313315,nwis,1.9,12.8
11313433,38.0130657,-121.670862,11313433,nwis,8.1,12.4
11336600,38.24477822,-121.5052384,11336600,nwis,1.5,12.3
11336790,38.09638889,-121.496111,11336790,nwis,1.0,12.2
11447830,38.32841998,-121.5773549,11447830,nwis,1.4,12.3
11447850,38.28477024,-121.5867841,11447850,nwis,1.5,12.2
11447890,38.25752555,-121.5179832,11447890,nwis,1.8,12.2
11447903,38.23726412,-121.5176741,11447903,nwis,1.7,12.4
11455335,38.2561111,-121.6666667,11455335,nwis,3.2,12.6
11455780,38.04492057,-122.1266323,11455780,nwis,22.5,13.6
374938122251801,37.82722222,-122.4216667,374938122251801,nwis,5.9,14.4
375607122264701,37.93527778,-122.4463889,375607122264701,nwis,13.4,14.3
B9409500,38.1061111,-121.571111,B9409500,wdl,1.4,12.0
B9502900,38.0325,-121.719083,B9502900,wdl,13.0,13.7
B9504400,38.0558333,-121.6669444,B9504400,wdl,7.8,13.5
B9510800,38.0711111,-121.5788889,B9510800,wdl,5.0,13.2
B9512000,38.01638889,-121.5819444,B9512000,wdl,8.1,12.5
B9520000,38.0272222,-121.5644444,B9520000,wdl,5.7,13.0
B9528500,37.8708333,-121.53,B9528500,wdl,1.4,12.7
B9529500,37.82013889,-121.5446111,B9529500,wdl,3.9,12.5
B9545800,38.00305556,-121.5108985,B9545800,wdl,3.0,13.2
B9550000,37.890778,-121.488361,B9550000,wdl,1.7,12.7
B9553100,37.876222,-121.383306,B9553100,wdl,1.6,10.6
B9561600,37.9925,-121.4538889,B9561600,wdl,2.13,13.4
