,temperature,Lat,Lon,x,y
ANH,17.06,38.01784713,-121.80288300000001,605075.1,4208474.7
BDL,16.92,38.186785,-121.9707745,590134.7,4227040.1
C3A,13.67,38.36771516,-121.5205061,629247.7,4247651.0
CSE,17.03,38.07394957,-121.85009579999999,600859.1,4214643.6
CYG,17.8,38.1527,-122.0908,579678.0,4223160.0
FRK,18.09,38.04642,-121.5981,623008.4,4211892.7
GOD,17.31,38.1238,-122.0812,580533.214,4219949.694
GYS,18.45,38.11908576,-122.0957696,579253.0,4219416.0
GZB,15.79,38.1231408,-122.0075808,586986.9,4219943.0
GZL,15.79,38.12425,-122.03811699999999,584309.0232,4220037.891
HON,16.56,38.072445200000004,-121.93923229999999,593045.1,4214379.2
HUN,17.67,38.156,-122.0527,582994.8199,4223547.67
IBS,17.61,38.15729922,-122.11367849999999,577650.9,4223639.0
MAL,16.5,38.04288249,-121.92011059999999,594757.5,4211123.3
MRZ,16.06,38.02761665,-122.14051940000002,575432.5,4209227.7
MSD2,13.62,37.78613049,-121.3064425,649126.1,4183436.8
MSL,17.38,38.0934,-121.8872,597578.3032,4216762.676
NSL2,16.83,38.12222,-121.888694,597451.6,4219938.0
PPT,18.34,38.0563597,-121.5499831,627213.4,4213060.7
RRI2,19.58,37.96277611,-121.36557720000002,643575.2,4202944.9
RVB,14.49,38.15974033,-121.6862425,615105.0,4224354.2
RYC,16.49,38.083971000000005,-121.995878,588041.6,4215616.3
SJR,11.35,37.6791908,-121.26488370000001,653005.8,4171637.9
SNC,16.99,38.18503208,-122.08305449999999,580303.5,4226742.3
SSI,17.16,38.07415,-121.76173999999999,608608.2,4214765.6
TEA,17.91,38.17667,-122.08611,580045.0,4225811.0
TWI,17.75,38.09746,-121.66872,616731.0,4217465.0
VOL,17.2,38.180526,-122.04695819999999,583348.0,4226330.0
PDC,19.2,37.8020598,-121.4122564,639778.0,4185041.0
RSL,19.8,37.976,-121.635,619885.2,4204031.0
SWE,19.0,38.24180921,-121.515902,629874.3,4233686.1
SUS,19.0,38.25,-121.60208329999999,622318.4,4234477.5
MIR,18.49,38.23602683,-121.666055,616742.9,4232844.4
SXS,18.76,38.191266999999996,-121.63788100000001,619281.8,4227913.6
SOI,18.53,38.17548,-121.65686299999999,617644.9,4226137.5
NSL,17.06,38.12202682,-121.8882107,597451.6,4219938.0
SJL,17.3,37.81097104,-121.32348219999999,647576.1,4186166.1
SUR,19.5,37.78836111,-121.4193889,639164.7,4183509.3
MATEO,16.2,37.58437876,-122.25080049999998,566147.7,4159966.4
VNS,17.7,37.676098700000004,-121.2655001,652957.8,4171293.8
SJG,19.8,37.93546702,-121.3302259,646735.2,4199969.7
MDM,19.4,37.94266627,-121.5338075,628839.5,4200455.0
OH4,19.4,37.89103627,-121.57022830000001,625718.9,4194688.9
DSJ,19.4,38.0130657,-121.67086200000001,616676.6,4208098.2
DLC,20.0,38.24477822,-121.50523840000001,630802.2,4234030.6
LPS,18.8,38.09638889,-121.49611100000001,631868.1,4217577.6
SJJ,17.8,38.05222551,-121.6889328,615029.0,4212420.9
FPT,19.15,38.45601954,-121.50134369999999,630762.5,4257477.0
SDC,19.4,38.25752555,-121.51798319999999,629664.2,4235427.1
GSS,19.1,38.23726412,-121.5176741,629727.3,4233179.3
GES,19.0,38.23889218,-121.5234467,629219.1,4233351.8
CM72,17.3,38.47686944,-121.58364170000002,623525.5,4259677.4
CM66,16.9,38.40444444,-121.61455559999999,620970.0,4251599.2
LBTOE,20.0,38.34944012,-121.64490149999999,618409.8,4245456.2
CM62,17.4,38.34166667,-121.6438889,618511.0,4244595.0
SGG,17.8,38.3183333,-121.69305559999998,614250.8,4241943.7
HAS,17.9,38.29415,-121.7257389,611430.5,4239220.3
USC,18.2,38.27555556,-121.70916670000001,612908.6,4237177.1
LIB,18.6,38.2431666,-121.68456670000002,615115.0,4233613.0
RYF,18.4,38.19395556,-121.65800279999999,617515.3,4228186.2
SDI,17.3,38.093367,-121.73726699999999,610748.9,4216702.8
CONFL,16.7,38.04953056,-121.88755,597605.9,4211894.6
BENBR,16.05,38.04492057,-122.12663229999998,576633.3,4211159.0
CARQB,15.8,38.0613095,-122.22552409999999,567940.8,4212900.6
DUM,17.1,37.504,-122.119,577828.8,4151167.7
SFP17,13.3,37.803000000000004,-122.397,553143.4,4184169.8
ALK,12.7,37.82722222,-122.42166670000002,550895.2,4186802.8
RICHB,13.5,37.93527778,-122.4463889,548648.5,4198778.5
GRIZZB,15.9,38.10853056,-122.05598059999998,582761.0,4218277.6
FMB,18.1,38.19489444,-122.0328139,584692.1,4227881.3
